region,year,total,male,female
서울특별시,2000,4918 ,2909 ,2010 
부산광역시,2000,1758 ,1028 ,730 
대구광역시,2000,1148 ,667 ,481 
인천광역시,2000,1164 ,716 ,448 
광주광역시,2000,592 ,345 ,247 
대전광역시,2000,608 ,360 ,249 
울산광역시,2000,456 ,300 ,157 
경기도,2000,4232 ,2586 ,1646 
강원도,2000,689 ,397 ,292 
충청북도,2000,691 ,400 ,291 
충청남도,2000,917 ,525 ,392 
전라북도,2000,871 ,499 ,372 
전라남도,2000,1014 ,563 ,451 
경상북도,2000,1415 ,795 ,621 
경상남도,2000,1411 ,817 ,593 
제주특별자치도,2000,268 ,142 ,126 
서울특별시,2001,4973 ,2921 ,2053 
부산광역시,2001,1747 ,1016 ,731 
대구광역시,2001,1175 ,677 ,498 
인천광역시,2001,1195 ,729 ,467 
광주광역시,2001,610 ,350 ,260 
대전광역시,2001,636 ,374 ,262 
울산광역시,2001,464 ,302 ,162 
경기도,2001,4401 ,2684 ,1717 
강원도,2001,680 ,397 ,283 
충청북도,2001,693 ,404 ,289 
충청남도,2001,924 ,525 ,398 
전라북도,2001,881 ,503 ,378 
전라남도,2001,1014 ,552 ,462 
경상북도,2001,1413 ,791 ,622 
경상남도,2001,1434 ,829 ,605 
제주특별자치도,2001,272 ,144 ,128 
서울특별시,2002,5024 ,2959 ,2065 
부산광역시,2002,1780 ,1026 ,754 
대구광역시,2002,1203 ,694 ,510 
인천광역시,2002,1226 ,744 ,483 
광주광역시,2002,631 ,357 ,274 
대전광역시,2002,666 ,385 ,281 
울산광역시,2002,483 ,309 ,174 
경기도,2002,4619 ,2829 ,1790 
강원도,2002,700 ,401 ,299 
충청북도,2002,701 ,407 ,294 
충청남도,2002,936 ,535 ,401 
전라북도,2002,865 ,496 ,369 
전라남도,2002,1010 ,547 ,464 
경상북도,2002,1410 ,790 ,620 
경상남도,2002,1448 ,854 ,594 
제주특별자치도,2002,279 ,146 ,133 
서울특별시,2003,5043 ,2950 ,2093 
부산광역시,2003,1688 ,993 ,695 
대구광역시,2003,1196 ,692 ,504 
인천광역시,2003,1225 ,750 ,475 
광주광역시,2003,625 ,364 ,261 
대전광역시,2003,664 ,394 ,270 
울산광역시,2003,487 ,319 ,168 
경기도,2003,4767 ,2939 ,1828 
강원도,2003,684 ,397 ,287 
충청북도,2003,689 ,410 ,280 
충청남도,2003,935 ,549 ,386 
전라북도,2003,862 ,497 ,366 
전라남도,2003,992 ,546 ,446 
경상북도,2003,1394 ,781 ,614 
경상남도,2003,1504 ,867 ,637 
제주특별자치도,2003,287 ,155 ,132 
서울특별시,2004,5159 ,2978 ,2181 
부산광역시,2004,1703 ,995 ,707 
대구광역시,2004,1220 ,701 ,519 
인천광역시,2004,1238 ,749 ,489 
광주광역시,2004,637 ,366 ,271 
대전광역시,2004,672 ,400 ,272 
울산광역시,2004,499 ,322 ,178 
경기도,2004,5013 ,3055 ,1958 
강원도,2004,695 ,400 ,295 
충청북도,2004,701 ,413 ,288 
충청남도,2004,966 ,569 ,397 
전라북도,2004,853 ,494 ,358 
전라남도,2004,973 ,538 ,435 
경상북도,2004,1400 ,783 ,617 
경상남도,2004,1529 ,894 ,635 
제주특별자치도,2004,288 ,154 ,134 
서울특별시,2005,5211 ,2995 ,2215 
부산광역시,2005,1705 ,986 ,719 
대구광역시,2005,1210 ,687 ,523 
인천광역시,2005,1247 ,763 ,484 
광주광역시,2005,650 ,370 ,279 
대전광역시,2005,667 ,394 ,274 
울산광역시,2005,499 ,322 ,177 
경기도,2005,5158 ,3138 ,2021 
강원도,2005,689 ,398 ,291 
충청북도,2005,698 ,407 ,292 
충청남도,2005,980 ,574 ,406 
전라북도,2005,844 ,484 ,360 
전라남도,2005,961 ,534 ,427 
경상북도,2005,1389 ,785 ,604 
경상남도,2005,1520 ,885 ,635 
제주특별자치도,2005,292 ,154 ,137 
서울특별시,2006,5255 ,3013 ,2242 
부산광역시,2006,1714 ,991 ,723 
대구광역시,2006,1193 ,679 ,514 
인천광역시,2006,1279 ,777 ,502 
광주광역시,2006,650 ,370 ,281 
대전광역시,2006,683 ,402 ,281 
울산광역시,2006,496 ,323 ,173 
경기도,2006,5307 ,3203 ,2104 
강원도,2006,696 ,400 ,297 
충청북도,2006,703 ,407 ,296 
충청남도,2006,1019 ,593 ,426 
전라북도,2006,851 ,480 ,371 
전라남도,2006,952 ,533 ,418 
경상북도,2006,1398 ,798 ,600 
경상남도,2006,1533 ,896 ,637 
제주특별자치도,2006,295 ,157 ,138 
서울특별시,2007,5299 ,3045 ,2255 
부산광역시,2007,1713 ,983 ,729 
대구광역시,2007,1186 ,679 ,507 
인천광역시,2007,1318 ,795 ,523 
광주광역시,2007,670 ,383 ,287 
대전광역시,2007,699 ,412 ,287 
울산광역시,2007,515 ,333 ,182 
경기도,2007,5434 ,3276 ,2158 
강원도,2007,695 ,404 ,291 
충청북도,2007,718 ,419 ,299 
충청남도,2007,1051 ,613 ,438 
전라북도,2007,862 ,487 ,376 
전라남도,2007,948 ,528 ,420 
경상북도,2007,1388 ,798 ,590 
경상남도,2007,1561 ,923 ,638 
제주특별자치도,2007,293 ,156 ,138 
서울특별시,2008,5284 ,3032 ,2253 
부산광역시,2008,1687 ,966 ,721 
대구광역시,2008,1178 ,684 ,495 
인천광역시,2008,1334 ,804 ,530 
광주광역시,2008,676 ,390 ,287 
대전광역시,2008,711 ,420 ,291 
울산광역시,2008,537 ,337 ,199 
경기도,2008,5585 ,3354 ,2231 
강원도,2008,701 ,404 ,297 
충청북도,2008,735 ,431 ,304 
충청남도,2008,1039 ,610 ,429 
전라북도,2008,863 ,490 ,372 
전라남도,2008,947 ,525 ,422 
경상북도,2008,1390 ,804 ,586 
경상남도,2008,1592 ,935 ,657 
제주특별자치도,2008,294 ,160 ,134 
서울특별시,2009,5218 ,3003 ,2215 
부산광역시,2009,1665 ,962 ,703 
대구광역시,2009,1194 ,693 ,501 
인천광역시,2009,1362 ,813 ,549 
광주광역시,2009,688 ,398 ,290 
대전광역시,2009,714 ,422 ,292 
울산광역시,2009,536 ,340 ,196 
경기도,2009,5621 ,3422 ,2200 
강원도,2009,710 ,409 ,301 
충청북도,2009,745 ,430 ,315 
충청남도,2009,1037 ,619 ,419 
전라북도,2009,860 ,486 ,373 
전라남도,2009,949 ,530 ,419 
경상북도,2009,1391 ,802 ,590 
경상남도,2009,1599 ,943 ,656 
제주특별자치도,2009,293 ,159 ,134 
서울특별시,2010,5308 ,3029 ,2280 
부산광역시,2010,1659 ,957 ,702 
대구광역시,2010,1212 ,691 ,521 
인천광역시,2010,1402 ,837 ,565 
광주광역시,2010,705 ,398 ,307 
대전광역시,2010,721 ,426 ,295 
울산광역시,2010,542 ,343 ,199 
경기도,2010,5786 ,3530 ,2256 
강원도,2010,701 ,403 ,299 
충청북도,2010,760 ,439 ,321 
충청남도,2010,1061 ,630 ,430 
전라북도,2010,859 ,494 ,365 
전라남도,2010,932 ,523 ,409 
경상북도,2010,1410 ,807 ,603 
경상남도,2010,1609 ,955 ,654 
제주특별자치도,2010,289 ,159 ,131 
서울특별시,2011,5395 ,3070 ,2325 
부산광역시,2011,1676 ,974 ,702 
대구광역시,2011,1215 ,697 ,518 
인천광역시,2011,1449 ,860 ,588 
광주광역시,2011,709 ,404 ,305 
대전광역시,2011,736 ,430 ,305 
울산광역시,2011,555 ,350 ,204 
경기도,2011,5901 ,3585 ,2316 
강원도,2011,707 ,407 ,300 
충청북도,2011,778 ,448 ,330 
충청남도,2011,1089 ,653 ,435 
전라북도,2011,882 ,510 ,372 
전라남도,2011,941 ,530 ,411 
경상북도,2011,1411 ,811 ,600 
경상남도,2011,1649 ,976 ,673 
제주특별자치도,2011,299 ,164 ,135 
서울특별시,2012,5371 ,3035 ,2336 
부산광역시,2012,1727 ,994 ,733 
대구광역시,2012,1250 ,709 ,541 
인천광역시,2012,1496 ,877 ,620 
광주광역시,2012,710 ,412 ,298 
대전광역시,2012,751 ,440 ,312 
울산광역시,2012,564 ,363 ,201 
경기도,2012,6055 ,3676 ,2379 
강원도,2012,725 ,416 ,309 
충청북도,2012,776 ,449 ,327 
충청남도,2012,1121 ,669 ,452 
전라북도,2012,889 ,517 ,372 
전라남도,2012,959 ,542 ,417 
경상북도,2012,1432 ,820 ,611 
경상남도,2012,1649 ,993 ,655 
제주특별자치도,2012,307 ,167 ,141 
서울특별시,2013,5355 ,3016 ,2339 
부산광역시,2013,1737 ,1003 ,734 
대구광역시,2013,1246 ,708 ,538 
인천광역시,2013,1511 ,883 ,628 
광주광역시,2013,727 ,416 ,311 
대전광역시,2013,757 ,446 ,311 
울산광역시,2013,566 ,372 ,194 
경기도,2013,6200 ,3727 ,2473 
강원도,2013,723 ,414 ,308 
충청북도,2013,800 ,465 ,336 
충청남도,2013,1173 ,705 ,468 
전라북도,2013,913 ,534 ,379 
전라남도,2013,963 ,546 ,416 
경상북도,2013,1448 ,837 ,611 
경상남도,2013,1676 ,1001 ,674 
제주특별자치도,2013,315 ,172 ,142 
서울특별시,2014,5449 ,3057 ,2392 
부산광역시,2014,1760 ,1020 ,740 
대구광역시,2014,1275 ,728 ,547 
인천광역시,2014,1544 ,896 ,649 
광주광역시,2014,753 ,431 ,322 
대전광역시,2014,788 ,461 ,327 
