year,region,lfp,tfr
2000,강원도,58.8,1.6
2001,강원도,58,1.413
2002,강원도,59.7,1.317
2003,강원도,58.4,1.279
2004,강원도,59.2,1.261
2005,강원도,58.6,1.188
2006,강원도,59.1,1.202
2007,강원도,58.7,1.356
2008,강원도,58.6,1.253
2009,강원도,58.8,1.248
2010,강원도,57.5,1.313
2011,강원도,57.5,1.338
2012,강원도,58.3,1.374
2013,강원도,57.6,1.249
2014,강원도,58.7,1.248
2015,강원도,59.8,1.311
2016,강원도,59.9,1.237
2017,강원도,62.6,1.123
2000,경기도,62.2,1.628
2001,경기도,62.2,1.437
2002,경기도,62.5,1.305
2003,경기도,61.9,1.321
2004,경기도,62.9,1.28
2005,경기도,62.9,1.183
2006,경기도,62.9,1.239
2007,경기도,62.6,1.361
2008,경기도,62.5,1.285
2009,경기도,61.5,1.226
2010,경기도,61.7,1.309
2011,경기도,61.5,1.314
2012,경기도,61.8,1.355
2013,경기도,62.1,1.226
2014,경기도,63.7,1.241
2015,경기도,64.2,1.272
2016,경기도,64.2,1.194
2017,경기도,64.6,1.069
2000,경상남도,61,1.586
2001,경상남도,61.6,1.417
2002,경상남도,61.5,1.272
2003,경상남도,63.1,1.29
2004,경상남도,63.6,1.266
2005,경상남도,62.6,1.189
2006,경상남도,62.3,1.254
2007,경상남도,62.6,1.434
2008,경상남도,62.8,1.368
2009,경상남도,62,1.323
2010,경상남도,61.4,1.413
2011,경상남도,62.1,1.446
2012,경상남도,61.3,1.503
2013,경상남도,61.6,1.367
2014,경상남도,61.7,1.409
2015,경상남도,62.2,1.437
2016,경상남도,62.7,1.358
2017,경상남도,62.7,1.227
2000,경상북도,65.2,1.578
2001,경상북도,65.2,1.402
2002,경상북도,65.3,1.232
2003,경상북도,65,1.253
2004,경상북도,65.7,1.203
2005,경상북도,65.2,1.173
2006,경상북도,65,1.208
2007,경상북도,64.3,1.369
2008,경상북도,64,1.313
2009,경상북도,63.7,1.274
2010,경상북도,64.1,1.377
2011,경상북도,63.5,1.434
2012,경상북도,63.8,1.489
2013,경상북도,64.1,1.379
2014,경상북도,65.1,1.408
2015,경상북도,64.3,1.464
2016,경상북도,64.4,1.396
